adcode,provinceName,OBJECTID1,suspectedCountIncr,suspectedCount,confirmedIncr,confirmedCount,deadIncr,deadCount,currentSuspectedCount,dateId,provinceShortName
110000,北京市,1,5.0,0,2,3984,0,9,0.0,20220901,北京
120000,天津市,2,33.0,0,1,2215,0,3,0.0,20220901,天津
130000,河北省,3,32.0,0,4,2020,0,7,0.0,20220901,河北
140000,山西省,4,0.0,0,0,469,0,0,0.0,20220901,山西
150000,内蒙古自治区,5,7.0,0,2,2398,0,1,0.0,20220901,内蒙古
210000,辽宁省,6,117.0,0,5,1818,0,2,3.0,20220901,辽宁
220000,吉林省,7,40.0,0,2,40314,0,5,0.0,20220901,吉林
230000,黑龙江省,8,212.0,0,13,3097,0,13,3.0,20220901,黑龙江
310000,上海市,9,6.0,0,8,63845,0,595,0.0,20220901,上海
320000,江苏省,10,7.0,0,1,2355,0,0,0.0,20220901,江苏
330000,浙江省,11,10.0,0,3,3384,0,1,1.0,20220901,浙江
340000,安徽省,12,0.0,0,0,1506,0,6,0.0,20220901,安徽
350000,福建省,13,2.0,0,17,4092,0,1,0.0,20220901,福建
360000,江西省,14,24.0,0,0,1474,0,1,0.0,20220901,江西
370000,山东省,15,56.0,0,4,2943,0,7,1.0,20220901,山东
410000,河南省,16,56.0,0,4,3286,0,22,3.0,20220901,河南
420000,湖北省,17,21.0,0,0,68424,0,4512,0.0,20220901,湖北
430000,湖南省,18,0.0,0,0,1437,0,4,0.0,20220901,湖南
440000,广东省,19,58.0,0,71,9092,0,8,4.0,20220901,广东
450000,广西壮族自治区,20,30.0,0,0,2254,0,2,0.0,20220901,广西
460000,海南省,21,75.0,0,27,8818,0,6,13.0,20220901,海南
500000,重庆市,22,4.0,0,8,998,0,6,0.0,20220901,重庆
510000,四川省,23,82.0,0,137,3826,0,3,11.0,20220901,四川
520000,贵州省,24,3.0,0,0,194,0,2,0.0,20220901,贵州
530000,云南省,25,2.0,0,1,2282,0,2,1.0,20220901,云南
540000,西藏自治区,26,575.0,0,46,812,0,0,2.0,20220901,西藏
610000,陕西省,27,7.0,0,8,3682,0,3,3.0,20220901,陕西
620000,甘肃省,28,42.0,0,0,1347,0,2,0.0,20220901,甘肃
630000,青海省,29,125.0,0,5,199,0,0,1.0,20220901,青海
640000,宁夏回族自治区,30,0.0,0,0,122,0,0,0.0,20220901,宁夏
650000,新疆维吾尔自治区,31,34.0,0,4,1135,0,3,4.0,20220901,新疆维吾尔自治
110000,北京市,1,11.0,0,8,3992,0,9,0.0,20220902,北京
120000,天津市,2,21.0,0,5,2220,0,3,0.0,20220902,天津
130000,河北省,3,21.0,0,2,2022,0,7,0.0,20220902,河北
140000,山西省,4,0.0,0,0,469,0,0,0.0,20220902,山西
150000,内蒙古自治区,5,1.0,0,4,2402,0,1,0.0,20220902,内蒙古
210000,辽宁省,6,121.0,0,9,1827,0,2,1.0,20220902,辽宁
220000,吉林省,7,30.0,0,3,40317,0,5,0.0,20220902,吉林
230000,黑龙江省,8,169.0,0,67,3164,0,13,60.0,20220902,黑龙江
310000,上海市,9,8.0,0,13,63858,0,595,0.0,20220902,上海
320000,江苏省,10,3.0,0,1,2356,0,0,0.0,20220902,江苏
330000,浙江省,11,21.0,0,4,3388,0,1,3.0,20220902,浙江
340000,安徽省,12,0.0,0,0,1506,0,6,0.0,20220902,安徽
350000,福建省,13,1.0,0,11,4103,0,1,3.0,20220902,福建
360000,江西省,14,23.0,0,0,1474,0,1,0.0,20220902,江西
370000,山东省,15,78.0,0,10,2953,0,7,1.0,20220902,山东
410000,河南省,16,44.0,0,14,3300,0,22,14.0,20220902,河南
420000,湖北省,17,30.0,0,2,68426,0,4512,0.0,20220902,湖北
430000,湖南省,18,0.0,0,0,1437,0,4,0.0,20220902,湖南
440000,广东省,19,60.0,0,82,9174,0,8,5.0,20220902,广东
450000,广西壮族自治区,20,23.0,0,0,2254,0,2,0.0,20220902,广西
460000,海南省,21,29.0,0,40,8858,0,6,32.0,20220902,海南
500000,重庆市,22,1.0,0,6,1004,0,6,1.0,20220902,重庆
510000,四川省,23,78.0,0,132,3958,0,3,10.0,20220902,四川
520000,贵州省,24,7.0,0,4,198,0,2,1.0,20220902,贵州
530000,云南省,25,0.0,0,6,2288,0,2,1.0,20220902,云南
540000,西藏自治区,26,524.0,0,65,877,0,0,35.0,20220902,西藏
610000,陕西省,27,19.0,0,8,3690,0,3,0.0,20220902,陕西
620000,甘肃省,28,24.0,0,0,1347,0,2,0.0,20220902,甘肃
630000,青海省,29,104.0,0,5,204,0,0,2.0,20220902,青海
640000,宁夏回族自治区,30,0.0,0,0,122,0,0,0.0,20220902,宁夏
650000,新疆维吾尔自治区,31,35.0,0,1,1136,0,3,1.0,20220902,新疆维吾尔自治
110000,北京市,1,7.0,0,7,3999,0,9,1.0,20220903,北京
120000,天津市,2,23.0,0,6,2226,0,3,0.0,20220903,天津
130000,河北省,3,15.0,0,2,2024,0,7,0.0,20220903,河北
140000,山西省,4,0.0,0,0,469,0,0,0.0,20220903,山西
150000,内蒙古自治区,5,12.0,0,14,2416,0,1,0.0,20220903,内蒙古
210000,辽宁省,6,120.0,0,12,1839,0,2,0.0,20220903,辽宁
