序号,文章标题,发布时间,文章链接,文章内容
1,北京顺义局部聚集性疫情源头初步锁定 由28日境外输入无症状感染者导致,12月31日09:17,http://society.people.com.cn/n1/2020/1231/c1008-31985404.html,
2,国家卫健委：27日新增新冠肺炎确诊病例21例 其中本土病例6例,12月28日10:15,http://society.people.com.cn/n1/2020/1228/c1008-31981255.html,
3,北京现多点零星散发病例 “两节”期间原则上不举办庙会等大型活动,12月28日09:46,http://society.people.com.cn/n1/2020/1228/c1008-31981206.html,
4,北京12月26日新增本地确诊病例5例和无症状感染者1例,12月27日09:26,http://society.people.com.cn/n1/2020/1227/c1008-31980210.html,
5,80万人核酸检测进行时——直击北京顺义“战时状态”现场,12月27日00:24,http://society.people.com.cn/n1/2020/1227/c1008-31980012.html,
6,北京新增2例无症状感染者,12月24日16:32,http://society.people.com.cn/n1/2020/1224/c1008-31978216.html,
7,北京顺义莲竹花园近2000名居民进行核酸检测,12月24日09:12,http://society.people.com.cn/n1/2020/1224/c1008-31977689.html,
8,广州发现一例新冠肺炎无症状感染者 为集中隔离酒店工作人员,12月20日18:20,http://society.people.com.cn/n1/2020/1220/c1008-31972691.html,
9,北京昨新增1例境外输入病例关联病例,12月19日06:07,http://society.people.com.cn/n1/2020/1219/c1008-31971967.html,
10,北京将加强入境人员14天集中隔离,12月16日06:41,http://society.people.com.cn/n1/2020/1216/c1008-31967609.html,
11,进口冷链食品能否吃得放心？——五问冷链食品安全,11月28日10:35,http://society.people.com.cn/n1/2020/1128/c1008-31948042.html,
12,国家卫健委：7月5日新增确诊病例4例 其中北京1例,07月06日08:16,http://society.people.com.cn/n1/2020/0706/c1008-31771939.html,
13,北京市领导对4家医疗机构进行院感防控约谈,06月21日22:09,http://society.people.com.cn/n1/2020/0621/c1008-31754360.html,
14,辽宁省13日新增2例新冠肺炎确诊病例,06月14日08:59,http://society.people.com.cn/n1/2020/0614/c1008-31746030.html,
15,国家卫健委：13日新增确诊病例57例 本土38例,06月14日08:40,http://society.people.com.cn/n1/2020/0614/c1008-31746018.html,
16,北京13日新增确诊病例36例 无症状感染者1例,06月14日08:30,http://society.people.com.cn/n1/2020/0614/c1008-31746014.html,
17,国家卫健委:1日新增确诊病例5例 均为境外输入病例,06月02日07:40,http://society.people.com.cn/n1/2020/0602/c1008-31731740.html,
18,国家卫健委：5月7日新增确诊病例1例 为本土病例,05月08日08:35,http://society.people.com.cn/n1/2020/0508/c1008-31700855.html,
19,国家卫健委：5月6日新增确诊病例2例 均为境外输入病例,05月07日08:07,http://society.people.com.cn/n1/2020/0507/c1008-31699071.html,
20,国家卫健委：5月5日新增确诊病例2例 均为境外输入病例,05月06日09:00,http://society.people.com.cn/n1/2020/0506/c1008-31698164.html,
21,全国应急响应级别汇总：8省份处于二级 21地降为三级,05月05日22:15,http://society.people.com.cn/n1/2020/0505/c1008-31697373.html,
22,国家卫健委：5月4日新增确诊1例 为上海境外输入病例,05月05日07:40,http://society.people.com.cn/n1/2020/0505/c1008-31697055.html,
23,国家卫健委：30日新增12例确诊病例 本土6例,05月01日08:26,http://society.people.com.cn/n1/2020/0501/c1008-31695411.html,
24,31省区市新增确诊病例10例 4例为本土病例,04月23日08:42,http://society.people.com.cn/n1/2020/0423/c1008-31684852.html,
25,北京昨日无新增报告新冠肺炎确诊病例 出院2例,04月22日09:00,http://society.people.com.cn/n1/2020/0422/c1008-31683328.html,
26,31省区市新增确诊30例 昨日新增7例本土病例,04月22日08:58,http://society.people.com.cn/n1/2020/0422/c1008-31683307.html,
27,国家卫健委：昨日新增确诊11例 无症状感染者37例,04月21日08:21,http://society.people.com.cn/n1/2020/0421/c1008-31681358.html,
28,援汉疾控队凯旋！,04月20日16:20,http://society.people.com.cn/n1/2020/0420/c1008-31680752.html,
29,国家卫健委：昨日新增确诊12例 无症状感染者49例,04月20日09:04,http://society.people.com.cn/n1/2020/0420/c1008-31680126.html,
30,国家卫健委:4月9日新增确诊病例42例 本土病例4例,04月10日07:50,http://society.people.com.cn/n1/2020/0410/c1008-31668149.html,
31,国家卫健委:4月7日新增确诊病例62例 本土病例3例,04月08日08:06,http://society.people.com.cn/n1/2020/0408/c1008-31665046.html,
32,卫健委：4月4日新增确诊病例30例 无症状感染者47例,04月05日08:02,http://society.people.com.cn/n1/2020/0405/c1008-31662190.html,
33,卫健委：4月3日新增确诊病例19例，其中1例为本土病例,04月04日08:21,http://society.people.com.cn/n1/2020/0404/c1008-31661701.html,
34,卫健委：3月31日新增确诊病例36例 无症状感染者130例,04月01日12:41,http://society.people.com.cn/n1/2020/0401/c1008-31657576.html,
35,国家卫健委：3月29日新增境外输入病例30例，本土1例,03月30日08:23,http://society.people.com.cn/n1/2020/0330/c1008-31653226.html,
36,甘肃兰州新增1例湖北输入新冠肺炎病例,03月30日00:00,http://society.people.com.cn/n1/2020/0330/c1008-31652809.html,
37,28日新增确诊病例45例 河南1例境外输入44例,03月29日08:41,http://society.people.com.cn/n1/2020/0329/c1008-31652481.html,
38,北京27日新增境外输入新冠肺炎确诊病例3例,03月28日09:02,http://society.people.com.cn/n1/2020/0328/c1008-31652011.html,
39,人类命运共同体的九种表达方式,03月27日08:49,http://society.people.com.cn/n1/2020/0327/c1008-31650642.html,
40,北京3月26日0时至12时新增报告境外输入确诊病例1例,03月26日13:27,http://society.people.com.cn/n1/2020/0326/c1008-31649579.html,
41,31省份新增新冠肺炎确诊病例67例 均为境外输入,03月26日08:04,http://society.people.com.cn/n1/2020/0326/c1008-31648646.html,
42,北京25日0时至12时新增报告境外输入确诊病例2例,03月25日12:59,http://society.people.com.cn/n1/2020/0325/c1008-31647909.html,
43,疫情蔓延加速 全球逾60国进入紧急状态或“封国”,03月24日17:25,http://society.people.com.cn/n1/2020/0324/c1008-31646536.html,
44,北京3月24日0时至12时新增报告境外输入确诊病例4例,03月24日13:15,http://society.people.com.cn/n1/2020/0324/c1008-31646253.html,
45,4月8日起武汉市解除离汉离鄂通道管控措施,03月24日12:53,http://society.people.com.cn/n1/2020/0324/c1008-31646248.html,
46,3月23日武汉市新增新冠肺炎确诊病例1例 系医生,03月24日10:26,http://society.people.com.cn/n1/2020/0324/c1008-31646117.html,
47,国家卫健委：3月23日新增报告境外输入确诊病例74例,03月24日08:50,http://society.people.com.cn/n1/2020/0324/c1008-31645736.html,
48,镜头里的“疫瞬间”⑥：武汉21支援汉医疗队共植“感恩林”,03月23日23:51,http://society.people.com.cn/n1/2020/0323/c1008-31645061.html,
49,北京3月23日0时至12时新增报告境外输入确诊病例15例,03月23日13:45,http://society.people.com.cn/n1/2020/0323/c1008-31644601.html,
50,国家卫健委：3月22日新增报告境外输入确诊病例39例,03月23日08:14,http://society.people.com.cn/n1/2020/0323/c1008-31643479.html,
51,北京输入性病例黎女士就职的公司：其不再是雇员 返回中国未告知公司,03月20日13:21,http://society.people.com.cn/n1/2020/0320/c1008-31641668.html,
52,他们是院士，也是战士,03月17日12:34,http://society.people.com.cn/n1/2020/0317/c1008-31636039.html,
53,国家卫健委：3月16日新增确诊21例 湖北1例 境外20例,03月17日07:47,http://society.people.com.cn/n1/2020/0317/c1008-31634935.html,
54,小汤山医院医疗设备就位 最后一批医疗仪器昨天完成现场检测,03月16日09:49,http://society.people.com.cn/n1/2020/0316/c1008-31633862.html,
55,今起所有境外进京人员集中隔离观察14天 隔离人员费用需自理,03月16日09:45,http://society.people.com.cn/n1/2020/0316/c1008-31633840.html,
56,借着疫情妖魔化中国 西方媒体用了这三招！,03月14日14:20,http://society.people.com.cn/n1/2020/0314/c1008-31631985.html,
57,国家卫健委：我国本轮疫情流行高峰已经过去,03月12日15:58,http://politics.people.com.cn/n1/2020/0312/c1001-31629417.html,	3月12日下午15时，国务院联防联控机制召开新闻发布会。	人民网北京3月12日电 3月12日下午15时，国务院联防联控机制召开新闻发布会。国家卫生健康委新闻发言人、宣传司副司长米锋表示，总体上，我国本轮疫情流行高峰已经过去，新增发病数在持续下降，疫情总体保持在较低水平。	米锋表示，昨天，世界卫生组织评估认为，此次疫情已具有大流行特征，并强调将本次疫情称为大流行，是为了再次呼吁成员国，为改变疫情走向投入更大的政治承诺和更多资源。疫情发生以来，中方举全国之力，采取最全面、最严格最彻底的防控举措，为国内及全球其他国家和地区做好疫情防控准备赢得了宝贵时间。当前全球疫情形势持续快速发展，对此中方密切关注，对各国防控工作压力感同身受。中方愿继续秉持公开、透明及对全球卫生安全和人民健康高度负责的态度，加强与世卫组织、有关国家和地区有效合作，为全球共同抗击疫情作出中国贡献。	米锋介绍，武汉新增确诊病例8例，已经降至个位数；湖北除武汉以外，所有地市已连续1周无新增确诊病例；湖北以外省份，新增确诊病例7例，其中6例为境外输入病例。以上信息提示，总体上，我国本轮疫情流行高峰已经过去，新增发病数在持续下降，疫情总体保持在较低水平。要把医疗救治工作摆在第一位，不麻痹、不厌战、不松劲，毫不放松抓紧各项防控工作。(责编：于子青、王政淇)
58,卫健委:3月11日新增确诊病例15例 湖北新增降至个位数,03月12日08:42,http://society.people.com.cn/n1/2020/0312/c1008-31628506.html,
59,国家卫健委：3月9日新增新冠肺炎确诊病例19例 新增治愈出院1297例,03月10日08:10,http://society.people.com.cn/n1/2020/0310/c1008-31624644.html,
60,全国已有53位城乡社区工作者在疫情防控中因公殉职,03月09日10:42,http://society.people.com.cn/n1/2020/0309/c1008-31623613.html,
61,国家卫健委：3月8日新增新冠肺炎确诊病例40例 新增治愈出院1535例,03月09日08:11,http://society.people.com.cn/n1/2020/0309/c1008-31622771.html,
62,3月7日全国新增新冠肺炎确诊44例 新增治愈出院1661例,03月08日08:32,http://society.people.com.cn/n1/2020/0308/c1008-31621914.html,
63,国家卫健委:3月6日新增新冠肺炎确诊病例99例 新增治愈出院1678例,03月07日08:23,http://society.people.com.cn/n1/2020/0307/c1008-31621231.html,
64,国家卫健委：3月5日新增新冠肺炎确诊病例143例 新增治愈出院1681例,03月06日09:33,http://society.people.com.cn/n1/2020/0306/c1008-31620268.html,
65,办公工位密集，测体温不记录 部分楼宇办公场所疫情防控不到位,03月06日09:15,http://society.people.com.cn/n1/2020/0306/c1008-31620212.html,
66,全国海关共检出75例核酸阳性病例,03月05日09:38,http://society.people.com.cn/n1/2020/0305/c1008-31618308.html,
67,新冠肺炎第七版诊疗方案公布 病例确诊增加血清学检测,03月05日09:37,http://society.people.com.cn/n1/2020/0305/c1008-31618305.html,
